index,name,change,fans_count,play_count,gender,abstract,space_url,face
59,-纯黑-,1076,299.81万,33524.75万,0,佛系UP主，每年尽量至少一部“大片”，直播录像填补没有想做的游戏的空白期。企鹅电竞直播间搜索“纯黑”微博@纯黑GK,1066,http://i1.hdslb.com/bfs/face/e8ab7b02d6576f4141ea857734b68b9dd35a5730.jpg
60,花花与三猫CatLive,1093,296.35万,32008.69万,0,会有猫的。公众号/微博@花花与三猫CatLive；合作邮箱bd@msmcn.cn；Q群：318242314,1083,http://i2.hdslb.com/bfs/face/1871c834255ffea531f699164e70f0daebc7558b.jpg
61,观视频工作室,1110,295.66万,45178.24万,0,理性观世界，自信看中国,1100,http://i2.hdslb.com/bfs/face/9fde235378806dacaa4761bf32a6498a7531b55a.jpg
62,泛式,1127,292.55万,18480.33万,1,谢谢你喜欢我的视频 「微博: @泛式」 「淘宝店: 泛式的泛卖屋」 ,1117,http://i0.hdslb.com/bfs/face/5f60d345059b82f0878984d9f9133f45b33b82be.jpg
63,宝剑嫂,1144,292.53万,13521.63万,1,努力做人民的好猪猪 【微博@宝剑嫂】,1134,http://i2.hdslb.com/bfs/face/93f3d5d1085357565a4c2e4ac151104ac3d783ac.jpg
64,孤独的美食基,1161,291.05万,17935.20万,1,随缘更新微博：孤独的美食基 ｜ins：huangshef｜工作联系vx: dmfrontier ,1151,http://i2.hdslb.com/bfs/face/df188387360d6ad90f9e36ac4aaea68ed9f3c9be.jpg
65,黑镖客梦回,1178,289.45万,29004.10万,0,编辑个性签名,1168,http://i2.hdslb.com/bfs/face/eea214e23f627cedaa364deccd61ba67ecd120f1.jpg
66,电影最TOP,1195,289.27万,21346.14万,1,更多栏目请关注公众号：电影最TOP  商务合作QQ：52948104,1185,http://i1.hdslb.com/bfs/face/6b2ade215ea603b495648875c925172a863d16d4.jpg
67,科技美学,1212,287.16万,29049.16万,0,微博、微信 @科技美学，每天都会来带最新的数码产品资讯及测评！不定期抽奖送福利，快来关注参加吧！,1202,http://i0.hdslb.com/bfs/face/2938291dc4140eb447134069acb87740c8677041.jpg
68,李永乐老师官方,1229,285.21万,9866.87万,1,微信公众号“李永乐老师”中小学课程：美提课堂www.mtketang.com ,1219,http://i0.hdslb.com/bfs/face/b299b0e20dc4fbbd45e13ba86f330d890c0a0118.jpg
69,明日方舟,1246,282.56万,6349.26万,0,重铸未来 方舟启航,1236,http://i1.hdslb.com/bfs/face/89154378c06a5ed332c40c2ca56f50cd641c0c90.jpg
70,排骨教主,1263,281.75万,11683.27万,0,排骨教主，名传千古，千秋万代，一统江湖,1253,http://i0.hdslb.com/bfs/face/0c859785660c90cc8620f0a98d3b21cf91175de3.jpg
71,蜡笔和小勋,1280,278.94万,6591.33万,0,知识区双人说书爱好者 I 微博@蜡笔和小勋 I 邮箱：labidakashe@163.com(蜡笔打卡社),1270,http://i1.hdslb.com/bfs/face/8a8812e0a9bb3adda90044ef48830584e1efe7a2.jpg
72,哔哩哔哩弹幕网,1297,277.61万,27866.51万,1,哔哩哔哩 干杯 - ( ゜- ゜)つロ,1287,http://i2.hdslb.com/bfs/face/f2cb8d9854156e3f26d4c6751d6eeb9c30e21847.jpg
73,刘老师说电影,1314,274.81万,35166.50万,1,合作：liulaoshi@laoliumovie.com  大号是@哎呀我去刘老师 ,1304,http://i1.hdslb.com/bfs/face/145226ff2d32d7c99b8ea3591ffec2f38fc9d3d3.jpg
74,哔哩哔哩创作中心,1331,273.21万,1611.02万,0,这里是跟着荣誉周报改签名赢好运的可爱创作君！用心支持创作、扶持up主成长，这里有创作中心新功能/使用指导/创作学院/激励计划一手情报！,1321,http://i2.hdslb.com/bfs/face/1d488d028b0fcceb218b3c42c60d5c29932f0677.jpg
75,EdmundDZhang,1348,272.28万,40471.51万,1,嘿! 我的B站直播: live.bilibili.com/5050,1338,http://i0.hdslb.com/bfs/face/5d94b9727a49815716cd66fc7ba3840382025c56.jpg
76,嘟督不噶油,1365,271.07万,24296.30万,0,恶搞向游戏UP主，我的梦想是成为最伟大的梦想家！新浪微博：嘟督不噶油.商务合作烦请到微博私信，非诚勿扰。,1355,http://i0.hdslb.com/bfs/face/34d7ccfe7fbfe16e2e764b7bd543d1bb566ff208.jpg
77,啊吗粽,1382,269.60万,17041.92万,1,动态发微博：@啊吗粽  啊和吗都是口字旁！！！,1372,http://i0.hdslb.com/bfs/face/90d81ca398508963069f1918df0ff37b3e3b22d2.jpg
78,东尼ookii,1399,268.38万,21403.68万,0,日常发福利在微博: 东尼ookii，客官！进来就关注一下嘛～ ,1389,http://i1.hdslb.com/bfs/face/89975e4a5de742d5cd84c04f21a7402e6d9f3a38.jpg
79,A路人,1416,265.35万,13097.68万,0,粉丝群：675494207  私信统一微博回：@-A路人-,1406,http://i0.hdslb.com/bfs/face/c4022010115d00da6667a5cf799d5400067d7f66.jpg
80,罗汉解说,1433,263.51万,12383.18万,0,佛系更新 随缘直播~,1423,http://i2.hdslb.com/bfs/face/d8308d7f1ec4815fe4bd42ed0d62dda304c3644c.jpg
81,山下智博,1450,262.23万,38118.96万,1,山下的新浪微博 http://weibo.com/u/2979392192　微信号：shanxiazhibo,1440,http://i1.hdslb.com/bfs/face/b4b829bce2bb01c89a62a85e4d422e3d3abd0ae3.jpg
82,大胃王密子君,1467,258.59万,36899.57万,0,带你一起密食天下，做个快乐的吃货！合作QQ：2727844336（公司/职位/项目）,1457,http://i1.hdslb.com/bfs/face/7a8d14249171e09448f4ddba1e0129584257825f.jpg
83,痒局长,1484,256.17万,17589.45万,0,想成为全能一体机 weibo.com/93yadashi 商务合作请联系qq 2221142014/其他联系见公告,1474,http://i1.hdslb.com/bfs/face/bcdf640faa16ebaacea1d4c930baabaec9087a80.jpg
84,-欣小萌-,1501,252.22万,16431.92万,0,爱跳舞的胖妹  小号：欣小萌有点污（内容清新脱俗） 微博：-欣小萌-    商务联系qq691599452,1491,http://i1.hdslb.com/bfs/face/958f13536f6ee9d9693bc271881022e55d77c5f4.jpg
85,冯提莫,1518,251.73万,2185.55万,0,每周2、3、5、6晚上8点播。微博：冯提莫 （音乐平台同名）商务合作：1323128302@qq.com  ,1508,http://i2.hdslb.com/bfs/face/977c147e57ae43cfcd45dbdb0909b2ceef30d1c4.jpg
86,谷阿莫,1535,250.51万,52364.52万,1,來這邊只是聽我說一個我喜歡的故事，我不評論故事原本的含意或導演拍攝的用意，因為那些東西每個人都有不同的看法，謝謝,1525,http://i1.hdslb.com/bfs/face/e21784d061d071d70c201d10bd17c0c8bf4ff227.jpg
87,阿斗归来了,1552,249.96万,34182.26万,1,还原导演思想以及电影本身的魅力，如果你想看一个好故事，体味电影真谛，关注我就没错了……商务邮箱adgll@qq.com,1542,http://i0.hdslb.com/bfs/face/b6dad37ef0a68341b6e2f84de5e1f9ee02f8365e.jpg
88,兔叭咯,1569,249.09万,6336.41万,0,微博：兔叭咯不是2pac      B站不知名，学习区无实力UP主。,1559,http://i2.hdslb.com/bfs/face/9793d089606e7f5653fc7011da6a4f37a7ec7698.jpg
89,假美食po主,1586,246.51万,20509.86万,0,音乐是救世主  微博：假美食po主  ,1576,http://i0.hdslb.com/bfs/face/dd151788db4e32540d5ab59210397a5d1c82e11c.jpg
90,力元君,1603,246.13万,18726.34万,1,莉哥微博：力元君（狂发自拍）,1593,http://i2.hdslb.com/bfs/face/1fb779ed26c192e6451a1038772c5c3492c7f957.jpg
91,泠鸢yousa,1620,245.34万,7740.48万,0,虚拟艺人团体VirtuaReal Star成员，微博&amp;网易云等搜：泠鸢yousa ,1610,http://i2.hdslb.com/bfs/face/28f95c383f2805dbed32e93007c91ccfda28775f.jpg
92,哔哩哔哩游戏中心,1637,244.18万,17805.39万,0,最新游戏资讯，新游介绍，游戏福利都在这里~ 官方微博：哔哩哔哩游戏 微信公众号：哔哩哔哩游戏中心,1627,http://i1.hdslb.com/bfs/face/c0ac22f7534504b35204c2fd190f07c1876ac032.jpg
93,公主连结ReDive,1654,243.96万,2733.96万,0,与你再次连结的物语,1644,http://i2.hdslb.com/bfs/face/4e8cba44ae5919aa72f99321edf5c0b0761eb270.jpg
94,小片片说大片,1671,243.38万,33752.54万,0,VX公众号：小片片说大片。商务合作VX：xppsdp000,1661,http://i1.hdslb.com/bfs/face/7ce59c5aee20e19b47a5dd5a58ddd13aeffa697f.jpg
95,思维实验室,1688,238.68万,4597.36万,0,如无必要 勿增实体,1678,http://i1.hdslb.com/bfs/face/3139eb15341d3e1aa14d182027411fbe0b90cd37.jpg
96,崩坏3第一偶像爱酱,1705,237.75万,12953.11万,0,《崩坏3》4.0版本「长夜孤星」上线 SP德丽莎「朔夜观星」参战,1695,http://i0.hdslb.com/bfs/face/4842234a38ff1ef475f7e5b4438ca32376932bbc.jpg
97,哔哩哔哩活动,1722,237.45万,981.16万,0,哔哩哔哩活动相关账号。（仔细看我~~是不是还挺可爱的？不信你多看两眼）,1712,http://i2.hdslb.com/bfs/face/1e711421fdd158a0cadc1c4351ca19a75ea712ec.jpg
98,视角姬,1739,236.72万,20194.46万,1,商务合作B站或微博私信我,1729,http://i0.hdslb.com/bfs/face/851025ed4bc57ad6ae82a6314e72e249fd21d604.jpg
99,怕上火暴王老菊,1756,231.80万,40520.57万,0,微勃er：weibo.com/573244552,1746,http://i0.hdslb.com/bfs/face/550121f5c2c5d02b35ee525064dcd4c2612b26ea.jpg
100,回形针PaperClip,1773,229.24万,9446.17万,0,你的当代生活说明书，每周不定期更新。（未成年人请在家长陪同下观看,1763,http://i2.hdslb.com/bfs/face/6f1364b43acd594d457f489eda6989e2f5927cb3.jpg
